"nomDepto","nomMunicipio","cantidadAmbulanciasBásicas","cantidad Ambulancias Medicalizadas","total general","fecha reporte","fuente"
"AMAZONAS","LETICIA","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","ABEJORRAL","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","ABRIAQUÍ","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","ALEJANDRÍA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","AMAGÁ","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","AMALFI","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","ANDES","4","sin información","4","2023-06-20","REPS"
"ANTIOQUIA","ANGELÓPOLIS","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","ANGOSTURA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","ANORÍ","4","sin información","4","2023-06-20","REPS"
"ANTIOQUIA","ANZA","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","APARTADÓ","17","4","21","2023-06-20","REPS"
"ANTIOQUIA","ARBOLETES","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","ARGELIA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","ARMENIA","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","BARBOSA","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","BELLO","10","3","13","2023-06-20","REPS"
"ANTIOQUIA","BELMIRA","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","BETANIA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","BETULIA","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","BRICEÑO","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","BURITICÁ","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","CÁCERES","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CAICEDO","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CALDAS","4","2","6","2023-06-20","REPS"
"ANTIOQUIA","CAMPAMENTO","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CAÑASGORDAS","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CARACOLÍ","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CARAMANTA","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","CAREPA","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","CAROLINA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CAUCASIA","6","15","21","2023-06-20","REPS"
"ANTIOQUIA","CHIGORODÓ","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","CISNEROS","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CIUDAD BOLÍVAR","2","1","3","2023-06-20","REPS"
"ANTIOQUIA","COCORNÁ","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","CONCEPCIÓN","1","sin información","1","2023-06-20","REPS"
"ANTIOQUIA","CONCORDIA","4","sin información","4","2023-06-20","REPS"
"ANTIOQUIA","COPACABANA","2","sin información","2","2023-06-20","REPS"
"ANTIOQUIA","DABEIBA","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","DON MATÍAS","3","sin información","3","2023-06-20","REPS"
"ANTIOQUIA","EBÉJICO","3","sin información","3","2023-06-20","REPS"
